Symbol	Description
GMM.AX	General Mining Corporation Limited
GMN.AX	Gold Mountain Limited
GMPPA.AX	GMP
GMR.AX	Golden Rim Resoures Ltd
GMY.AX	Goldfields Money Limited
GNC.AX	GrainCorp Ltd
GNCKOA.AX	Graincorp Limited
GNCKOC.AX	Graincorp Limited
GNCKOF.AX	Graincorp Limited
GNE.AX	Genesis Energy Limited
GNG.AX	Gr Engineering Services Limited
GNV.AX	Green Invest Ltd
GNX.AX	Genex Power Limited
GOE.AX	Go Energy Group Limited
GOLD.AX	Gold Bullion Ltd
GOR.AX	Gold Road Resources Limited
GOVT.AX	GOVT
GOW.AX	Gowing Bros Ltd
GOZ.AX	Growthpoint Properties Australia
GPH.AX	Goldphyre Resources Limited
GPHO.AX	Goldphyre Resources Limited
GPP.AX	Greenpower Energy Ltd
GPR.AX	Geopacific Resources NL
GPS.AX	Gps Alliance Holdings Limited
GPT.AX	General Property Trust
GPTKOC.AX	Gpt Group
GPTKOD.AX	Gpt Group
GPTKOP.AX	Gpt Group
GPTKOQ.AX	Gpt Group
GPTKOS.AX	Gpt Group
GRA.AX	Graphitecorp Limited
GRB.AX	Gage Road Brewing Co Ltd
GRF.AX	
GRR.AX	Grange Resources Ltd
GRV.AX	Greenvale Mining NL
GRY.AX	Gryphon Minerals Ltd
GSBA18.AX	Australian Government Treasury Bonds
GSBC17.AX	Australian Government Treasury Bonds
GSBG20.AX	Australian Government Treasury Bonds
GSBG23.AX	Australian Government Treasury Bonds
GSBG24.AX	Australian Government Treasury Bonds
GSBG25.AX	Australian Government Treasury Bonds
GSBG26.AX	Australian Government Treasury Bonds
GSBG27.AX	Australian Government Treasury Bonds
GSBG29.AX	Australian Government Treasury Bonds
GSBG33.AX	Australian Government Treasury Bonds
GSBG37.AX	Australian Government Treasury Bonds
GSBK16.AX	Australian Government Treasury Bonds
GSBK35.AX	Australian Government Treasury Bonds
GSBK39.AX	Australian Government Treasury Bonds
GSBM17.AX	Australian Government Treasury Bonds
GSBM22.AX	Australian Government Treasury Bonds
GSBU20.AX	Australian Government Treasury Bonds
GSBU27.AX	Australian Government Treasury Bonds
GSC.AX	Global Geoscience Ltd
GSE.AX	Goldsearch Ltd
GSIC22.AX	Australian Government Treasury Indexed Bonds
GSIO20.AX	Australian Government Treasury Indexed Bonds
GSIO35.AX	Australian Government Treasury Indexed Bonds
GSIO40.AX	Australian Government Treasury Indexed Bonds
GSIQ25.AX	Australian Government Treasury Indexed Bonds
GSIQ30.AX	Australian Government Treasury Indexed Bonds
GSIU18.AX	Australian Government Treasury Indexed Bonds
GSS.AX	Genetic Signatures Limited
GTE.AX	Great Western Exploration Ltd
GTG.AX	Genetic Technologies Ltd
GTK.AX	Gentrack Group Limited
GTR.AX	GTI Resources Ltd
GTY.AX	Gateway Lifestyle Group
GUD.AX	GUD Holdings Ltd
GUL.AX	Gullewa Ltd
GVF.AX	Global Value Fund Limited
GVFO.AX	Global Value Fund Limited
GWA.AX	Gwa Group Limited.
GWAKOA.AX	Gwa Group Limited.
GWAKOQ.AX	Gwa Group Limited.
GWAKOR.AX	Gwa Group Limited.
GWR.AX	Golden West Resources Ltd
GXL.AX	Greenross Ltd
GXN.AX	Global Metals Exploration Nl
GXY.AX	Galaxy Resources Ltd
GZL.AX	Gazal Corporation Ltd
HAO.AX	Haoma Mining NL
HAR.AX	Haranga Resources Limited
HAS.AX	Hastings Rare Metals Ltd
HAV.AX	Havilah Resources NL
HAVO.AX	Havilah Resources NL
HAW.AX	Hawthorn Resources Ltd
HAZ.AX	Hazelwood
HBSHB.AX	Heritage Bank Limited
HCH.AX	Hot Chili Limited
HCT.AX	Holista Colltech Limited
HDG.AX	Hodges Resources Ltd
HDX.AX	Hughes Drilling Limited
HEG.AX	Hill End Gold Ltd
HFA.AX	HFA Holdings Ltd
HFR.AX	Highfield Resources Limited
HGG.AX	Henderson Group Plc
HGGKOA.AX	Henderson Group Plc.
HGGKOD.AX	Henderson Group Plc.
HGGKOE.AX	Henderson Group Plc.
HGGKOR.AX	Henderson Group Plc.
HGGKOS.AX	Henderson Group Plc.
HGL.AX	Hudson Investment Group Ltd
HGO.AX	Hillgrove Resources Ltd
HHL.AX	Hunter Hall International Ltd
HHM.AX	Hampton Hill Mining NL
HHV.AX	Hunter Hall Global Value Ltd
HHY.AX	Hastings High Yield Fund
HIG.AX	Highlands Pacific Ltd (PNG)
HIL.AX	Hills Industries Ltd
HIT.AX	Hitech Group Australia Ltd
HJB.AX	Hamilton James & Bruce Group Ltd
HLO.AX	Helloworld Limited
HLS.AX	Hillcrest Litigation Services Ltd
HLX.AX	Helix Resources Ltd
HMI.AX	Harvest Minerals Ltd
HML.AX	Hamill Resources
HMX.AX	Hammer Metals Limited
HNG.AX	HGL Ltd
HNR.AX	Hannans Reward NL
HOG.AX	Hawkley Oil And Gas Limited
HOM.AX	Homeloans Ltd
HOR.AX	Horseshoe Metals Limited
HPI.AX	Hotel Property Investments
HPR.AX	High Peak Royalties Limited
HPRO.AX	High Peak Royalties Limited
HRL.AX	Hot Rock
HRR.AX	Heron Resources Ltd
HSK.AX	Heemskirk Consolidated Ltd
HSN.AX	Hansen Technologies Ltd
HSO.AX	Healthscope Limited.
HSOKOC.AX	Healthscope Limited.
HSOKOP.AX	Healthscope Limited.
HSXKOA.AX	HSXKOA
HSXKOB.AX	HSXKOB
HSXKOC.AX	HSXKOC
HSXKOD.AX	HSXKOD
HSXKOP.AX	HSXKOP
HSXKOR.AX	HSXKOR
HTA.AX	Hutchison Telecommunications (Aust)
HUB.AX	Hub24 Limited
HUO.AX	Huon Aquaculture Group Limited
HVN.AX	Harvey Norman Holdings Ltd
HVNKOA.AX	Harvey Norman Holdings Limited
HVNKOB.AX	Harvey Norman Holdings Limited
HVNKOD.AX	Harvey Norman Holdings Limited
HVNKOP.AX	Harvey Norman Holdings Limited
HVNKOR.AX	Harvey Norman Holdings Limited
HVNKOW.AX	Harvey Norman Holdings Limited
HVST.AX	HVST
HXG.AX	Hexagon Resources Limited
HZN.AX	Horizon Oil Ltd
HZR.AX	Hazer Group Limited
IAA.AX	
IAB.AX	Inabox Group Limited
IAF.AX	Ishares Ubs Composite Bond Index Fund
IAG.AX	Insurance Australia Group Ltd
IAGKOB.AX	Insurance Australia Group Limited
IAGKOC.AX	Insurance Australia Group Limited
IAGKOP.AX	Insurance Australia Group Limited
IAGKOV.AX	Insurance Australia Group Limited
IAGKOW.AX	Insurance Australia Group Limited
IAGPC.AX	Insurance Australia Group Limited
IANG.AX	IANG
IAU.AX	Intrepid Mines Ltd
IB8.AX	Ibosses Corporation Limited
IBC.AX	Ironbark Capital Ltd
IBG.AX	Ironbark Gold Ltd
IBK.AX	
ICG.AX	Inca Minerals Limited
ICI.AX	Icandy Interactive Limited
ICIO.AX	Icandy Interactive Limited
ICN.AX	Icon Energy Ltd
ICQ.AX	Icar Asia Limited
ICS.AX	ICSGlobal Ltd
ICT.AX	Incitec
ICTO.AX	Icollege Limited
ICU.AX	Isentric Limited
ICZ.AX	Indus Coal Limited
IDC.AX	Indochine Mining Limited
IDO.AX	Indo Mines Ltd
IDR.AX	Industria Reit Fund
IDT.AX	Institute of Drug Technology Aust
IDX.AX	Indexshares Fund The
IDZ.AX	Indoor Skydive Australia Group Limited
IEC.AX	Intra Energy Corporation Limited
IEL.AX	Idp Education Limited
IEM.AX	iShares MSCI Emerging Markets
IEQ.AX	International Equities Corp Ltd
IEU.AX	iShares S&P Europe 350
IFL.AX	IOOF Holdings Ltd
IFM.AX	Infomedia Ltd
IFN.AX	IFN
IFZ.AX	Infratil Limited
IGB.AX	Ishares Ubs Treasury Index Fund
IGL.AX	International Goldfields Ltd
IGO.AX	Independence Group NL
IGOKOA.AX	Independence Group Nl
IGOKOB.AX	Independence Group Nl
IGOKOD.AX	Independence Group Nl
IGOKOQ.AX	Independence Group Nl
IGOKOT.AX	Independence Group Nl
IGOKOU.AX	Independence Group Nl
IGS.AX	International Goldfields Limited...
IHCB.AX	IHCB
IHD.AX	Ishares S&p/asx High Dividend
IHEB.AX	IHEB
IHK.AX	iShares MSCI Hong Kong
IHOO.AX	IHOO
IIL.AX	Innate Immunotherapeutics Limited
IJH.AX	iShares S&P Midcap 400
IJP.AX	iShares MSCI Japan
IJR.AX	iShares S&P Smallcap 600
IKO.AX	iShares MSCI South Korea
IKW.AX	Ikwezi Mining Limited
ILB.AX	Ishares Ubs Government Inflation Index Fund
ILC.AX	Ishares S&p/asx 20
ILH.AX	Ilh Group Limited.
ILU.AX	Iluka Resources Ltd
ILUKOB.AX	Iluka Resources Limited
ILUKOD.AX	Iluka Resources Limited
ILUKOE.AX	Iluka Resources Limited
ILUKOH.AX	Iluka Resources Limited
ILUKOP.AX	Iluka Resources Limited
ILUKOQ.AX	Iluka Resources Limited
ILUKOS.AX	Iluka Resources Limited
ILUKOV.AX	Iluka Resources Limited
ILUKOX.AX	Iluka Resources Limited
IMA.AX	Image Resources NL
IMC.AX	
IMD.AX	Imdex Ltd
IMF.AX	IMF (Australia) Ltd
IMFHA.AX	Bentham Imf Limited
IMI.AX	IM Medical Ltd
IMU.AX	Imugene Ltd
IMUO.AX	Imugene Limited
INA.AX	Ingenia Communities Group
IND.AX	Indus Energy Nl
INDO.AX	Indus Energy Nl
INL.AX	Intec Ltd
IOF.AX	ING Office Fund
IOG.AX	Incremental Oil And Gas Limited
IOO.AX	iShares S&P Global 100
IOZ.AX	Ishares Msci Australia 200
IPB.AX	Ipb Petroleum Limited
IPC.AX	Imperial Pacific Limited
IPD.AX	Impedimed Ltd
IPE.AX	ING Private Equity Access Ltd
IPH.AX	Ipoh
IPL.AX	Incitec Pivot Ltd
IPLKOE.AX	Incitec Pivot Limited
IPLKOF.AX	Incitec Pivot Limited
IPLKOG.AX	Incitec Pivot Limited
IPLKOP.AX	Incitec Pivot Limited
IPLKOQ.AX	Incitec Pivot Limited
IPLKOS.AX	Incitec Pivot Limited
IPLKOT.AX	Incitec Pivot Limited
IPP.AX	IPGA Ltd
IPT.AX	Impact Minerals Ltd
IQ3.AX	Iq3corp Limited
IQE.AX	Intueri Education Group Limited
IRC.AX	Intermin Resources Ltd
IRCO.AX	Intermin Resources Limited
IRD.AX	Iron Road Ltd
IRE.AX	IRESS Market Technology Ltd
IRI.AX	Integrated Research Ltd
IRL.AX	India Resources Ltd
IRM.AX	Iron Mountain Mining Ltd
IRU.AX	iShares Russell 2000
ISD.AX	Isentia Group Limited
ISG.AX	iShares MSCI Singapore
ISH.AX	Ishine International Resources Limited
ISO.AX	Ishares S&p/asx Small Ordinaries
ISU.AX	Iselect Limited.
ISX.AX	Isignthis Ltd
ITD.AX	ITL Ltd
ITQ.AX	Intecq Limited
ITW.AX	iShares MSCI Taiwan
IVC.AX	InvoCare Ltd
IVCKOD.AX	Invocare Limited
IVCKOF.AX	Invocare Limited
IVCKOR.AX	Invocare Limited
IVCKOS.AX	Invocare Limited
IVCKOT.AX	Invocare Limited
IVE.AX	iShares MSCI Eafe
IVO.AX	Invigor Group Limited
IVOO.AX	Invigor Group Limited
IVQ.AX	Invitrocue Limited
IVR.AX	IVR
IVRO.AX	Investigator Resources Ltd
IVT.AX	Inventis Ltd
IVV.AX	iShares S&P 500
IVX.AX	Invion Limited
IWG.AX	Iwebgate Limited
IXI.AX	
IXJ.AX	IXJ
IXP.AX	IXP
IXR.AX	IMX Resoures NL
IZZ.AX	iShares FTSE Xinhua China
JAL.AX	Jameson Resources Ltd
JAT.AX	
JBH.AX	JB Hi-Fi Ltd
JBHKOA.AX	Jb Hi-fi Limited
JBHKOB.AX	Jb Hi-fi Limited
JBHKOC.AX	Jb Hi-fi Limited
JBHKOD.AX	Jb Hi-fi Limited
JBHKOE.AX	Jb Hi-fi Limited
JBHKOQ.AX	Jb Hi-fi Limited
JBHKOR.AX	Jb Hi-fi Limited
JBHKOV.AX	Jb Hi-fi Limited
JCS.AX	Jcurve Solutions Ltd
JHC.AX	Japara Healthcare Limited
JHL.AX	Jayex Healthcare Limited
JHX.AX	James Hardie Industries NV (CUFS)
JHXKOB.AX	James Hardie Industries Plc
JHXKOF.AX	James Hardie Industries Plc
JHXKOS.AX	James Hardie Industries Plc
JHXKOU.AX	James Hardie Industries Plc
JIN.AX	JIN
JKA.AX	Jacka Resources Limited
JKAO.AX	Jacka Resources Limited
JKL.AX	Justkapital Litigation Partners Limited
JPR.AX	Jupiter Energy Ltd
JRL.AX	Jindalee Resources Ltd
JRV.AX	Jervois Mining Ltd
JVG.AX	JV Global Ltd
JYC.AX	Joyce Corporation Ltd
KAB.AX	Kaboko Mining Limited
KABOA.AX	Kaboko Mining Limited
KAM.AX	K2 Asset Management Holdings Ltd
KAR.AX	Karoon Gas Australia Ltd
KARKOA.AX	Karoon Gas Australia Limited
KARKOC.AX	Karoon Gas Australia Limited
KARKOP.AX	Karoon Gas Australia Limited
KARKOR.AX	Karoon Gas Australia Limited
KARKOU.AX	Karoon Gas Australia Limited
KARKOV.AX	Karoon Gas Australia Limited
KAS.AX	Kasbah Resources Ltd
KAT.AX	Katana Capital Ltd
KATO.AX	KATO
KBC.AX	Keybridge Capital Ltd
KBCPA.AX	Keybridge Capital Limited
KBL.AX	Kimberley Metals Limited
KBLGA.AX	Kimberley Metals Limited
KBU.AX	Kabuni Ltd
KBUO.AX	Kabuni Ltd
KCN.AX	Kingsgate Consolidated Ltd
KDL.AX	Kimberley Diamonds Ltd
KDR.AX	Kidman Resources Limited
KEY.AX	Key Petroleum Ltd
KFE.AX	Kogi Iron Limited
KFEO.AX	Kogi Iron Limited
KFG.AX	Kingform Health Hometextile Group Limited
KGD.AX	Kula Gold Limited
KGL.AX	Kentor Gold Ltd
KGM.AX	Kalnorth Gold Mines Limited
KII.AX	KII
KIK.AX	Kairiki Energy Ltd
KIN.AX	Kin Mining Nl
KIS.AX	King Island Scheelite Ltd
KKL.AX	Kollakorn Corporation Limited
KKO.AX	Kinetiko Energy Ltd
KKT.AX	Konekt Ltd
KLO.AX	Kingsland Global Ltd
KLR.AX	Kaili Resources Limited
KMD.AX	Kathmandu Holdings Limited
KME.AX	Kip McGrath Education Centres
KNH.AX	Koon Holdings Ltd
KNL.AX	Kagera Nickel Limited
KNM.AX	Kneomedia Limited
KNO.AX	Knosys Limited
KOR.AX	Korab Resources Ltd
KOV.AX	Korvest Ltd
KPC.AX	Kazakhstan Potash Corporation Limited
KPL.AX	Kina Petroleum Limited
KPO.AX	Kalina Power Limited
KPT.AX	Kangaroo Island Plantation Timbers Ltd
KRC.AX	King River Copper Limited
KRCOA.AX	King River Copper Limited
KRL.AX	Kintore Resources Limited
KRM.AX	Kingsrose Mining Ltd
KRS.AX	Kresta Holdings Ltd
KSC.AX	K&S Corporation Ltd
KSL.AX	Kina Securities Limited
KSM.AX	Kingstream Steel
KSN.AX	Kingston Resources Limited
KSNOA.AX	Kingston Resources Limited
KTA.AX	Krakatoa Resources Limited
KTE.AX	K2 Energy Ltd
KTL.AX	KTL Technologies Ltd
LAA.AX	Latam Autos Limited
LAM.AX	Laramide Resources Ltd
LAU.AX	Lindsay Australia Ltd
LBL.AX	Laserbond Ltd
LBT.AX	Labtech Systems Ltd
LCD.AX	Latitude Consolidated Limited
LCE.AX	London City Equities Ltd
LCK.AX	Leigh Creek Energy Limited
LCM.AX	Logicamms Ltd
LCR.AX	Laconia Resources Limited
LCROA.AX	Laconia Resources Limited
LCT.AX	Living Cell Technologies Ltd
LCY.AX	Legacy Iron Ore Ltd
LEG.AX	Legend Mining Ltd
LEP.AX	ALE Property Group
LER.AX	LER
LFC.AX	Life Corporation Ltd
LGD.AX	Legend Corporation Ltd
LGM.AX	Luiri Gold Limited
LGO.AX	Longreach Oil Ltd
LGR.AX	Lanka Graphite Limited
LHB.AX	Lionhub Group Limited
LHBO.AX	Lionhub Group Limited
LHC.AX	Lifehealthcare Group Limited
LHM.AX	Land & Homes Group Limited
LIC.AX	Lifestyles Communities Ltd
LIN.AX	Lindian Resources Ltd
LINO.AX	Lindian Resources Ltd
LIO.AX	Lion Energy Ltd
LIT.AX	Lithium Australia Nl
LITCC.AX	Lithium Australia Nl
LKE.AX	Lake Resources NL
LKO.AX	Lakes Oil NL
LKOGA.AX	Lakes Oil Nl
LLC.AX	Lend Lease Corporation Ltd
LLCKOA.AX	Lend Lease Group
LLCKOC.AX	Lend Lease Group
LLCKOQ.AX	Lend Lease Group
LLCKOU.AX	Lend Lease Group
LLCKOV.AX	Lend Lease Group
LLCKOW.AX	Lend Lease Group
LLCQOB.AX	Lend Lease Group
LLCQOC.AX	Lend Lease Group
LLO.AX	Lion One Metals Limited
LMG.AX	Latrobe Magnesium Ltd
LML.AX	Lincoln Minerals Ltd
LMW.AX	LandMark White Ltd
LNG.AX	Liquefied Natural Gas Ltd
LNGKOC.AX	Liquefied Natural Gas Limited
LNGKOR.AX	Liquefied Natural Gas Limited
LNGKOS.AX	Liquefied Natural Gas Limited
LNK.AX	Link Administration Holdings Limited
LNR.AX	Lonestar Resources Limited
LNY.AX	Laneway Resources Ltd
LOM.AX	Lonrho Mining Ltd
LOMOA.AX	Lonrho Mining Limited
LOMOB.AX	Lucapa Diamond Company Limited
LOV.AX	Lovisa Holdings Limited
LPE.AX	Locality Planning Energy Holdings Ltd
LRL.AX	Leyshon Resources Ltd
LRS.AX	Latin Resources Limited
LRSO.AX	Latin Resources Limited
LSA.AX	Lachlan Star Ltd
LSN.AX	Lawson Gold Limited
LSR.AX	Lodestar Minerals Ltd
LSRO.AX	Lodestar Minerals Limited
LSX.AX	Lion Selection Group Limited.
LTN.AX	Lantern Hotel Group
LTR.AX	Liontown Resources Ltd
LTX.AX	Lithex Resources Limited
LVT.AX	Livetiles Limited
LWP.AX	Lwp Technologies Limited
LYC.AX	Lynas Corporation Ltd
LYCKOP.AX	Lynas Corporation Limited
LYCKOQ.AX	Lynas Corporation Limited
LYCKOS.AX	Lynas Corporation Limited
LYCKOT.AX	Lynas Corporation Limited
LYL.AX	Lycopodium Ltd
MAD.AX	Maverick Drilling And Exploration Limited
MAH.AX	Macmahon Holdings Ltd
MAI.AX	Mainstreambpo Limited
MAQ.AX	Macquarie Telecom Group Ltd
MAR.AX	Malachite Resources NL
MAS.AX	Mesa Minerals Limited
MAT.AX	Matine Ltd t/over
MAU.AX	Magnetic Resources NL
MAUCA.AX	Magnetic Resources Nl
MAX.AX	Milliniums Alternatives Fund
MBC.AX	Malabar Coal Limited
MBE.AX	Mobile Embrace Limited
MBK.AX	Metal Bank Limited
MBLHB.AX	MBLHB
MBN.AX	Mirabela Nickel Ltd
MBO.AX	Mobilarm Limited
MBT.AX	Mission Biofuels Ltd
MCE.AX	Matrix Composites & Engineering Limited
MCH.AX	Murchison Holdings Ltd
MCP.AX	McPhersons Ltd
MCR.AX	Mincor Resources NL
MCS.AX	Mcaleese Limited
MCT.AX	Metalicity Limited
MCX.AX	Mariner Corporation Limited
MDC.AX	McConnell Dowell Corporation
MDD.AX	Mandalong Resources Limited
MDG.AX	Mt Dimer Gold Mines
MDI.AX	Middle Island Resources Limited
MDL.AX	Mineral Deposits Ltd
MDR.AX	Medadvisor Limited
MDV.AX	MediVac Ltd
MDX.AX	Mindax Ltd
MEA.AX	Media Corporation Australia
MEB.AX	Medibio Limited
MED.AX	Merlin Diamonds Limited
MEI.AX	Meteoric Resources NL
MEL.AX	Metgasco Ltd
MEO.AX	Methanol Australia Ltd
MEP.AX	Minotaur Exploration Ltd
MEPO.AX	Minotaur Exploration Ltd
MEU.AX	Maramota Energy Ltd
MEY.AX	Marenica Energy Ltd
MEZ.AX	Meridian Energy Limited
MFF.AX	Magellan Flagship Fund Ltd
MFFO.AX	Magellan Flagship Fund Limited
MFG.AX	Magellan Financial Group
MFGKOA.AX	Magellan Financial Group Limited
MFGKOC.AX	Magellan Financial Group Limited
MFGKOP.AX	Magellan Financial Group Limited
MFGOC.AX	Magellan Financial Group
MGC.AX	Mg Unit Trust
MGE.AX	Magnetic Minerals
MGI.AX	Macquarie Goodman Ind Trust merge MGQ
MGL.AX	Magontec Limited
MGM.AX	Macquarie Goodman Management merge MGQ
MGP.AX	Managed Accounts Holdings Limited
MGR.AX	Mirvac Group
MGRKOB.AX	Mirvac Group
MGRKOC.AX	Mirvac Group
MGRKOD.AX	Mirvac Group
MGRKOQ.AX	Mirvac Group
MGRKOT.AX	Mirvac Group
MGS.AX	Mgt Resources Limited
MGT.AX	Magnetite Mines Limited.
MGU.AX	Magnum Gold NL
MGV.AX	Musgrave Minerals Limited
MGX.AX	Mount Gibson Iron Ltd
MGXKOJ.AX	Mount Gibson Iron Limited
MGXKON.AX	Mount Gibson Iron Limited
MGXKOQ.AX	Mount Gibson Iron Limited
MGXKOR.AX	Mount Gibson Iron Limited
MGXKOU.AX	Mount Gibson Iron Limited
MGXKOV.AX	Mount Gibson Iron Limited
MGY.AX	Mercury Brands Ltd
MGZ.AX	Medigard Ltd
MHC.AX	Manhattan Corporation Limited
MHG.AX	MHG
MHI.AX	Merchant House International Ltd
MHM.AX	Macquarie Harbour Mining Ltd
MIG.AX	Macquarie Infrastructure Group
MIH.AX	Mnc Media Investment Ltd
MIL.AX	Magnesium International Ltd
MIN.AX	Mineral Resources Ltd
MINKOA.AX	Mineral Resources Limited
MINKOB.AX	Mineral Resources Limited
MINKOC.AX	Mineral Resources Limited
MINKOP.AX	Mineral Resources Limited
MINKOQ.AX	Mineral Resources Limited
MINKOT.AX	Mineral Resources Limited
MIR.AX	Mirrabooka Investments Ltd
MIZ.AX	Minera Gold Limited
MIZOA.AX	Minera Gold Limited
MJP.AX	Martin Aircraft Company Limited
MKB.AX	MKB
MKE.AX	Mako Energy Limited
MKO.AX	Metaliko Resources Limited
MLA.AX	Medical Australia Limited
MLB.AX	Melbourne IT Ltd
MLD.AX	Maca Limited
MLI.AX	Mintails Ltd
MLM.AX	Metallica Minerals Ltd
MLS.AX	Metals Australia Ltd
MLT.AX	Milton Corporation Ltd
MLX.AX	Metals X Ltd
MMI.AX	Metro Mining Limited
MMJ.AX	Mmj Phytotech Limited
MML.AX	Medusa Mining Ltd
MMLKOC.AX	Medusa Mining Limited
MMLKOQ.AX	Medusa Mining Limited
MMLKOU.AX	Medusa Mining Limited
MMLKOV.AX	Medusa Mining Limited
MMR.AX	Mec Resources Ltd
MMS.AX	McMillan Shakespeare Ltd
MMSKOA.AX	Mcmillan Shakespeare Limited
MMSKOB.AX	Mcmillan Shakespeare Limited
MMSKOC.AX	Mcmillan Shakespeare Limited
MMSKOE.AX	Mcmillan Shakespeare Limited
MMSKOP.AX	Mcmillan Shakespeare Limited
MMSKOQ.AX	Mcmillan Shakespeare Limited
MMZ.AX	Mooter Media Ltd
MNB.AX	Minbos Resources Limited
MNC.AX	Metminco Ltd
MND.AX	Monadelphous Group Ltd
MNDKOA.AX	Monadelphous Group Limited
MNDKOB.AX	Monadelphous Group Limited
MNDKOD.AX	Monadelphous Group Limited
MNDKOF.AX	Monadelphous Group Limited
MNDKOP.AX	Monadelphous Group Limited
MNDKOQ.AX	Monadelphous Group Limited
MNDKOT.AX	Monadelphous Group Limited
MNE.AX	Mining Group Limited
MNF.AX	My Net Fone Ltd
MNM.AX	Mantle Mining Corporation Ltd
MNMOB.AX	Mantle Mining Corporation Limited
MNMOC.AX	Mantle Mining Corporation Limited
MNQ.AX	Minquest Limited
MNQO.AX	Minquest Limited
MNS.AX	Milnes Holdings
MNSO.AX	Magnis Resources Limited
MNW.AX	Mint Wireless Ltd
MNY.AX	Money3 Corporation Ltd
MNYO.AX	Money3 Corporation Limited
MOAT.AX	MOAT
MOC.AX	Mortgage Choice Ltd
MOD.AX	Medical Corporation Australasia Ltd
MOL.AX	Moly Mines Ltd
MOQ.AX	Montech Holdings Limited
MOT.AX	Motopia Limited
MOV.AX	Moore Australasia (holdings) Limited
MOX.AX	Monax Mining Ltd
MOY.AX	Millennium Minerals Ltd
MOZ.AX	Mozambi Coal Limited
MOZO.AX	Mozambi Resources Ltd
MP1.AX	Megaport Limited
MPE.AX	Magnum Gas & Power Limited
MPJ.AX	Mining Projects Group Ltd
MPJO.AX	Mining Projects Group Ltd
MPL.AX	Medibank Private Limited
MPLKOA.AX	Medibank Private Limited
MPLKOC.AX	Medibank Private Limited
MPLKOE.AX	Medibank Private Limited
MPLKOP.AX	Medibank Private Limited
MPLKOQ.AX	Medibank Private Limited
MPLKOS.AX	Medibank Private Limited
MPO.AX	Molopo Australia Ltd
MPP.AX	Metro Performance Glass Limited
MPX.AX	Mustera Property Group Limited
MQA.AX	Macquarie Atlas Roads Group
MQG.AX	Macquarie Group Ltd
MQGKOA.AX	Macquarie Group Limited
MQGKOB.AX	Macquarie Group Limited
MQGKOC.AX	Macquarie Group Limited
MQGKOD.AX	Macquarie Group Limited
MQGKOE.AX	Macquarie Group Limited
MQGKOF.AX	Macquarie Group Limited
MQGKOI.AX	Macquarie Group Limited
MQGKOK.AX	Macquarie Group Limited
MQGKOL.AX	Macquarie Group Limited
MQGKON.AX	Macquarie Group Limited
MQGKOO.AX	Macquarie Group Limited
MQGKOQ.AX	Macquarie Group Limited
MQGKOR.AX	Macquarie Group Limited
MQGKOS.AX	Macquarie Group Limited
MQGKOT.AX	Macquarie Group Limited
MQGKOU.AX	Macquarie Group Limited
MQGKOV.AX	Macquarie Group Limited
MQGKOY.AX	Macquarie Group Limited
MQGKOZ.AX	Macquarie Group Limited
MQGLOA.AX	Macquarie Group Limited
MQGLOD.AX	Macquarie Group Limited
MQGLOF.AX	Macquarie Group Limited
MQGLOI.AX	Macquarie Group Limited
MQGLOR.AX	Macquarie Group Limited
MQGLOS.AX	Macquarie Group Limited
MQGLOT.AX	Macquarie Group Limited
MQGLOU.AX	Macquarie Group Limited
MQGLOX.AX	Macquarie Group Limited
MQGLOZ.AX	Macquarie Group Limited
MQGMOA.AX	Macquarie Group Limited
MQGPA.AX	Macquarie Group Limited
MQGPB.AX	Macquarie Group Limited
MQGQOC.AX	Macquarie Group Limited
MQGQOX.AX	Macquarie Group Limited
MQGQOY.AX	Macquarie Group Limited
MRC.AX	Mineral Commodities Ltd
MRD.AX	Mount Ridley Mines Limited
MRM.AX	Mermaid Marine Australia Ltd
MRN.AX	Macquarie Radio Network Ltd
MRP.AX	Macphersons Reward Gold Limited
MRQ.AX	Mrg Metals Limited
MRQO.AX	Mrg Metals Limited
MRQOA.AX	Mrg Metals Limited
MRR.AX	Minrex Resources Nl
MRV.AX	Moreton Resources Ltd
MSB.AX	Mesoblast Ltd
MSBKOA.AX	Mesoblast Limited
MSBKOB.AX	Mesoblast Limited
MSBKOE.AX	Mesoblast Limited
MSBKOG.AX	Mesoblast Limited
MSBKOQ.AX	Mesoblast Limited
MSBKOR.AX	Mesoblast Limited
MSBKOS.AX	Mesoblast Limited
MSG.AX	Mcs Services Limited
MSI.AX	Multistack International Ltd
MSM.AX	Msm Corporation International Ltd
MSP.AX	Maxsec Group Limited
MSR.AX	Manas Resources Ltd
MSV.AX	Mitchell Services Limited
MSVO.AX	Mitchell Services Limited
MTA.AX	Metals Of Africa Limited
MTAO.AX	Metals Of Africa Limited
MTB.AX	Mount Burgess Mining NL
MTH.AX	Mithril Resources Ltd
MTL.AX	Manalto Limited
MTM.AX	Mareterram Limited
MTR.AX	Meditech Research Ltd
MTS.AX	Metcash Ltd
MTSKOA.AX	Metcash Limited
MTSKOB.AX	Metcash Limited
MTSKOP.AX	Metcash Limited
MTSKOS.AX	Metcash Limited
MTU.AX	M2 Telecommunications Group Ltd
MTUKOB.AX	M2 Group Ltd
MTUKOC.AX	M2 Group Ltd
MTUKOP.AX	M2 Group Ltd
MTUKOQ.AX	M2 Group Ltd
MUA.AX	Mitula Group Limited
MUB.AX	Mongolian Resource Corporation Ltd
